Name,Year,Yearly Salary,ATT,RUSH YDS,AVG RUSH YDS,LG RUSH,RUSH 20 CNT,RUSH TD,REC,TGT,REC YDS,AVG REC YDS,REC TD,TTL SNAP CNT,Injured
Jeff Wilson Jr.,2021,2050000,79,294,3.7,17,0,2,7,8,31,4.4,0,228,0
Jeremy McNichols,2021,0,41,156,3.8,14,0,0,28,38,240,8.6,1,268,1
Jerick McKinnon,2021,721667,12,62,5.2,18,0,0,13,20,107,8.2,1,147,0
Jermar Jefferson,2021,679581,15,74,4.9,28,1,2,4,5,23,5.8,0,33,1
Joe Mixon,2021,8420588,292,1205,4.1,32,7,13,42,48,314,7.5,3,697,1
John Kelly Jr.,2021,102422,2,13,6.5,11,0,0,0,0,0,0,0,3,0
Johnny Stanton IV,2021,119467,3,5,1.7,3,0,0,2,2,7,3.5,1,14,0
Jonathan Taylor,2021,1779353,332,1811,5.5,83,30,18,40,51,360,9,2,767,0
Jonathan Ward,2021,780000,9,33,3.7,7,0,0,3,4,34,11.3,0,41,1
Jonathan Williams,2021,236111,17,79,4.6,23,1,1,4,6,28,7,0,55,0
